clae,prestadores,edicion,establecimientos,clae6_desc,clae3,clae3_desc,clae2,clae2_desc,letra,letra_desc
931042,67,previaje 1,s/d,"Servicios prestados por profesionales y técnicos para la realización de prácticas deportivas (Incluye la actividad realizada por entrenadores, instructores, jueces árbitros, cronometradores, etc.)",931,Servicios para la práctica deportiva,93,"Actividades deportivas, recreativas y de entretenimiento",R,"SERVICIOS  ARTÍSTICOS, CULTURALES, DEPORTIVOS  Y DE ESPARCIMIENTO"
939010,15,previaje 1,s/d,Servicios de parques de diversiones y parques temáticos,939,Servicios de esparcimiento ncp,93,"Actividades deportivas, recreativas y de entretenimiento",R,"SERVICIOS  ARTÍSTICOS, CULTURALES, DEPORTIVOS  Y DE ESPARCIMIENTO"
939030,6,previaje 1,s/d,"Servicios de salones de baile, discotecas y similares",939,Servicios de esparcimiento ncp,93,"Actividades deportivas, recreativas y de entretenimiento",R,"SERVICIOS  ARTÍSTICOS, CULTURALES, DEPORTIVOS  Y DE ESPARCIMIENTO"
939090,82,previaje 1,s/d,Servicios de entretenimiento n.c.p.,939,Servicios de esparcimiento ncp,93,"Actividades deportivas, recreativas y de entretenimiento",R,"SERVICIOS  ARTÍSTICOS, CULTURALES, DEPORTIVOS  Y DE ESPARCIMIENTO"
491120,2,previaje 2,5,Servicio de transporte ferroviario interurbano de pasajeros,491,Servicio de transporte ferroviario,49,Transporte terrestre y por tuberías,H,SERVICIO DE TRANSPORTE Y ALMACENAMIENTO
492110,8,previaje 2,42,Servicio de transporte automotor urbano y suburbano regular de pasajeros,492,Servicio de transporte automotor,49,Transporte terrestre y por tuberías,H,SERVICIO DE TRANSPORTE Y ALMACENAMIENTO
492140,44,previaje 2,44,"Servicio de transporte automotor urbano y suburbano no regular de pasajeros de oferta libre,  excepto mediante taxis y remises, alquiler de autos con chofer y transporte escolar (Incluye servicios urbanos especiales como charters, servicios contratados, servicios para ámbito portuario o aeroportuario, servicio de hipódromos y espectáculos deportivos y culturales)",492,Servicio de transporte automotor,49,Transporte terrestre y por tuberías,H,SERVICIO DE TRANSPORTE Y ALMACENAMIENTO
492150,92,previaje 2,261,"Servicio de transporte automotor interurbano regular de pasajeros, E1203excepto transporte internacional (Incluye los llamados servicios de larga distancia)",492,Servicio de transporte automotor,49,Transporte terrestre y por tuberías,H,SERVICIO DE TRANSPORTE Y ALMACENAMIENTO
492160,25,previaje 2,26,Servicio de transporte automotor interurbano no regular de pasajeros,492,Servicio de transporte automotor,49,Transporte terrestre y por tuberías,H,SERVICIO DE TRANSPORTE Y ALMACENAMIENTO
492180,247,previaje 2,256,Servicio de transporte automotor turístico de pasajeros,492,Servicio de transporte automotor,49,Transporte terrestre y por tuberías,H,SERVICIO DE TRANSPORTE Y ALMACENAMIENTO
492190,85,previaje 2,88,Servicio de transporte automotor de pasajeros n.c.p.,492,Servicio de transporte automotor,49,Transporte terrestre y por tuberías,H,SERVICIO DE TRANSPORTE Y ALMACENAMIENTO
501100,25,previaje 2,26,Servicio de transporte marítimo de pasajeros,501,Servicio de transporte marítimo,50,Transporte marítimo y pluvial,H,SERVICIO DE TRANSPORTE Y ALMACENAMIENTO
502101,18,previaje 2,19,Servicio de transporte fluvial y lacustre de pasajeros,502,Servicio de transporte fluvial y lacustre,50,Transporte marítimo y pluvial,H,SERVICIO DE TRANSPORTE Y ALMACENAMIENTO
511000,6,previaje 2,7,Servicio de transporte aéreo de pasajeros,511,Servicio de transporte aéreo de pasajeros,51,Transporte aéreo,H,SERVICIO DE TRANSPORTE Y ALMACENAMIENTO
551022,1554,previaje 2,1765,"Servicios de alojamiento en hoteles, hosterías y residenciales similares, excepto por hora, que incluyen servicio de restaurante al público",551,"Servicios de alojamiento, excepto en camping",55,Servicios de alojamiento,I,SERVICIOS DE ALOJAMIENTO Y SERVICIOS DE COMIDA
551023,3538,previaje 2,3764,"Servicios de alojamiento en hoteles, hosterías y residenciales similares, excepto por hora, que no incluyen servicio de restaurante al público",551,"Servicios de alojamiento, excepto en camping",55,Servicios de alojamiento,I,SERVICIOS DE ALOJAMIENTO Y SERVICIOS DE COMIDA
551090,2603,previaje 2,2781,"Servicios de hospedaje temporal n.c.p. (Incluye hospedaje en estancias, residencias para estudiantes y albergues juveniles, apartamentos turísticos, etc.)",551,"Servicios de alojamiento, excepto en camping",55,Servicios de alojamiento,I,SERVICIOS DE ALOJAMIENTO Y SERVICIOS DE COMIDA
552000,106,previaje 2,116,Servicios de alojamiento en campings (Incluye refugios de montaña),552,Servicios de alojamiento en campings,55,Servicios de alojamiento,I,SERVICIOS DE ALOJAMIENTO Y SERVICIOS DE COMIDA
591300,19,previaje 2,37,Exhibición de filmes y videocintas,591,Servicios de cinematografía,59,Servicios audiovisuales,J,INFORMACIÓN Y COMUNICACIONES
771110,243,previaje 2,329,Alquiler de automóviles sin conductor,771,Alquiler de vehículos automotores y equipo de transporte sin conductor ni operarios,77,Alquiler y leasing,N,ACTIVIDADES ADMINISTRATIVAS Y SERVICIOS DE APOYO
771190,51,previaje 2,55,"Alquiler de vehículos automotores n.c.p., sin conductor ni operarios (Incluye: camiones, remolques, etc.)",771,Alquiler de vehículos automotores y equipo de transporte sin conductor ni operarios,77,Alquiler y leasing,N,ACTIVIDADES ADMINISTRATIVAS Y SERVICIOS DE APOYO
771290,15,previaje 2,17,"Alquiler de equipo de transporte n.c.p. sin conductor ni operarios (Incluye: equipo ferroviario, motocicletas)",771,Alquiler de vehículos automotores y equipo de transporte sin conductor ni operarios,77,Alquiler y leasing,N,ACTIVIDADES ADMINISTRATIVAS Y SERVICIOS DE APOYO
791100,3295,previaje 2,3510,Servicios minoristas de agencias de viajes,791,Servicios de agencias de viaje y otras actividades complementarias de apoyo turístico,79,"Agencias de viajes, servicios de reservas y actividades conexas",N,ACTIVIDADES ADMINISTRATIVAS Y SERVICIOS DE APOYO
791200,285,previaje 2,306,Servicios mayoristas de agencias de viajes,791,Servicios de agencias de viaje y otras actividades complementarias de apoyo turístico,79,"Agencias de viajes, servicios de reservas y actividades conexas",N,ACTIVIDADES ADMINISTRATIVAS Y SERVICIOS DE APOYO
791901,245,previaje 2,263,Servicios de turismo aventura,791,Servicios de agencias de viaje y otras actividades complementarias de apoyo turístico,79,"Agencias de viajes, servicios de reservas y actividades conexas",N,ACTIVIDADES ADMINISTRATIVAS Y SERVICIOS DE APOYO
791909,435,previaje 2,449,Servicios complementarios de apoyo turístico n.c.p.,791,Servicios de agencias de viaje y otras actividades complementarias de apoyo turístico,79,"Agencias de viajes, servicios de reservas y actividades conexas",N,ACTIVIDADES ADMINISTRATIVAS Y SERVICIOS DE APOYO
841100,1,previaje 2,1,"Servicios generales de la Administración Pública (Incluye el desempeño de funciones ejecutivas y legislativas de administración por parte de las entidades de la administración central, regional y local, la administración y supervisión de asuntos fiscales, la aplicación del presupuesto y la gestión de los fondos públicos y la deuda pública, la gestión administrativa de servicios estadísticos y sociológicos y de planificación social y económica a distintos niveles de la administración)",841,Servicios de la Administración Pública,84,"Administración pública, defensa y seguridad social",O,"ADMINISTRACION PUBLICA, DEFENSA Y SEGURIDAD SOCIAL OBLIGATORIA"
900011,22,previaje 2,27,Producción de espectáculos teatrales y musicales,900,Servicios artísticos y de espectáculos,90,Servicios artísticos y de espectáculos,R,"SERVICIOS  ARTÍSTICOS, CULTURALES, DEPORTIVOS  Y DE ESPARCIMIENTO"
900021,14,previaje 2,19,"Composición y representación de obras teatrales, musicales y artísticas (Incluye a compositores, actores, músicos, conferencistas, pintores, artistas plásticos etc.)",900,Servicios artísticos y de espectáculos,90,Servicios artísticos y de espectáculos,R,"SERVICIOS  ARTÍSTICOS, CULTURALES, DEPORTIVOS  Y DE ESPARCIMIENTO"
900030,3,previaje 2,3,"Servicios conexos a la producción de espectáculos teatrales y musicales  (Incluye diseño y manejo de escenografía, montaje de iluminación y sonido, etc.)",900,Servicios artísticos y de espectáculos,90,Servicios artísticos y de espectáculos,R,"SERVICIOS  ARTÍSTICOS, CULTURALES, DEPORTIVOS  Y DE ESPARCIMIENTO"
900040,2,previaje 2,3,Servicios de agencias de ventas de entradas,900,Servicios artísticos y de espectáculos,90,Servicios artísticos y de espectáculos,R,"SERVICIOS  ARTÍSTICOS, CULTURALES, DEPORTIVOS  Y DE ESPARCIMIENTO"
