fecha,operaciones,monto
2021-09-27,1411,7514201.38
2021-09-28,1307,6517266.21
2021-09-29,1301,6086154.3
2021-09-30,1280,5508657.53
2021-10-01,1418,5989887.88
2021-10-02,1670,6227768.31
2021-10-03,1369,5367818.01
2021-10-04,1297,6665912.29
2021-10-05,1254,5820488.61
2021-10-06,1299,6384869.19
2021-10-07,1761,9197461.97
2021-10-08,2395,11032488.89
2021-10-09,2589,9494876.08
2021-10-10,2284,8282738.25
2021-10-11,2059,8033207.87
2021-10-12,1504,7220011.42
2021-10-13,1407,6806126.25
2021-10-14,1269,6080286.49
2021-10-15,1566,7246660.22
2021-10-16,1693,6141178.69
2021-10-17,1209,4281630.53
2021-10-18,1213,5444460.01
2021-10-19,1268,6226238.44
2021-10-20,1362,6279738.76
2021-10-21,1288,5282083.81
2021-10-22,1418,6064300.08
2021-10-23,1620,5264645.2
2021-10-24,1457,5648626.06
2021-10-25,1282,5800262.72
2021-10-26,1119,5214839.42
2021-10-27,1185,5422013.39
2021-10-28,1173,5645098.2
2021-10-29,1816,14063335.56
2021-10-30,1937,10246975.78
2021-10-31,1971,9319842.79
2021-11-01,5818,43264655.05
2021-11-02,7344,39489228.62
2021-11-03,9111,46238500.69
2021-11-04,10635,49458519.6
2021-11-05,12789,58551975.98
2021-11-06,14856,61455733.43
2021-11-07,14549,60562141.11
2021-11-08,14078,61533853.7
2021-11-09,14093,63644539.22
2021-11-10,13234,56401715.01
2021-11-11,12909,54354027.91
2021-11-12,13600,56535544.43
2021-11-13,13979,57502951.91
2021-11-14,11529,45480894.27
2021-11-15,12744,58794107.54
2021-11-16,12516,58472068.21
2021-11-17,13278,57730839.25
2021-11-18,13245,58000712.38
2021-11-19,15895,67859713.01
2021-11-20,18208,70753799
2021-11-21,17255,65361389.68
2021-11-22,16671,65299910.98
2021-11-23,14036,60506631.09
2021-11-24,13324,57618577.58
2021-11-25,13329,54932090.16
2021-11-26,14066,57437305.48
2021-11-27,14506,58155697.88
2021-11-28,12479,47967067.26
2021-11-29,11220,44793925.9
2021-11-30,10829,55282863.83
2021-12-01,13713,75780707.51
2021-12-02,16052,78948139.52
2021-12-03,22491,104561509.45
2021-12-04,25719,101787963.88
2021-12-05,24773,97693241.9599999
2021-12-06,25799,116237125.71
2021-12-07,25641,112266704
2021-12-08,25747,105364602.44
2021-12-09,25907,112090960.26
2021-12-10,27002,114716796.9
2021-12-11,26702,105823633.2
2021-12-12,24559,93532403.86
2021-12-13,23837,106704718.84
2021-12-14,22691,103411861.42
2021-12-15,22660,100400459.82
2021-12-16,22066,96770083.7400001
2021-12-17,23676,105421962.39
2021-12-18,22917,94028101.77
2021-12-19,20227,79834252.17
2021-12-20,19141,93752455.34
2021-12-21,17979,86690499.68
2021-12-22,17708,91054628.8200001
2021-12-23,18344,92500809.43
2021-12-24,13956,67986279.87
2021-12-25,10400,49734654.36
2021-12-26,19411,88838799.9700001
2021-12-27,21539,106866045.12
2021-12-28,22170,111680811.37
2021-12-29,23697,115280739.43
2021-12-30,27717,135528092.15
2021-12-31,25303,135680326.85
2022-01-01,24286,117792393.54
2022-01-02,47146,210462253.87
2022-01-03,58987,263504566.67
2022-01-04,62572,256621867.58
2022-01-05,64190,251315366.46
2022-01-06,66072,247721925.75
2022-01-07,69476,264657151.53
2022-01-08,74280,274190283.34
2022-01-09,71974,258883149.75
2022-01-10,72937,279950134.88
2022-01-11,70053,259083829.52
2022-01-12,71875,263756659.87
2022-01-13,72264,260917610.05
2022-01-14,73500,260814607.99
2022-01-15,77673,279268109.37
2022-01-16,66535,228995493.18
2022-01-17,66995,245361196.4
2022-01-18,78285,315177206.85
2022-01-19,68972,266243254.45
2022-01-20,71730,269909832.58
2022-01-21,69216,264175931.3
2022-01-22,73565,279672594.43
2022-01-23,66395,247679444.29
2022-01-24,63349,249125678.64
2022-01-25,60844,236065543.26
2022-01-26,64430,244893762.059999
2022-01-27,63187,262227573.319999
2022-01-28,62851,265342481.44
2022-01-29,65961,262818020.66
2022-01-30,60565,240062673.16
2022-01-31,60644,278160769.779999
2022-02-01,72572,337116768.1
2022-02-02,88966,389119154.53
2022-02-03,100317,419711603.21
2022-02-04,102305,420343187.42
2022-02-05,114289,448379374.92
2022-02-06,105577,402967559.29
2022-02-07,107303,442090819.340001
2022-02-08,103750,426816882.25
2022-02-09,104970,408701296.44
2022-02-10,104348,407437271.2
2022-02-11,111517,441800427.39
2022-02-12,109421,423603902.38
2022-02-13,97919,367863396.03
2022-02-14,97179,397748314.790001
2022-02-15,92567,379918485.130001
2022-02-16,93118,368136571.7
2022-02-17,96054,372292790.97
2022-02-18,97834,383863243.23
2022-02-19,102396,387124194.57
2022-02-20,93031,347140559.56
2022-02-21,88036,351900634.8
2022-02-22,82311,315456190.94
2022-02-23,79825,303371327.96
2022-02-24,80327,315443224.58
2022-02-25,83191,337343379.57
2022-02-26,88670,355063529.61
2022-02-27,86410,323531559.24
2022-02-28,84859,317668350.690001
2022-03-01,75433,293784341.54
2022-03-02,58413,239282007.32
2022-03-03,57568,234970472.459999
2022-03-04,62006,248973942.94
2022-03-05,67746,249607235.53
2022-03-06,59898,220185861.51
2022-03-07,54299,228088372.06
2022-03-08,53796,218019496.919999
2022-03-09,50629,201729942.07
2022-03-10,50207,199560921.55
2022-03-11,55578,230599457.86
2022-03-12,59060,219146660.83
2022-03-13,51392,192539792.49
2022-03-14,46242,198465606.84
2022-03-15,44212,184334595.65
2022-03-16,44851,179563887.73
2022-03-17,46969,193892206.11
2022-03-18,49031,198027389.07
2022-03-19,52727,201383814.71
2022-03-20,44212,165077009.87
2022-03-21,40093,176733153.12
2022-03-22,37635,158633837.36
2022-03-23,39979,168458078.92
2022-03-24,42367,174118353.46
2022-03-25,42273,182569863.51
2022-03-26,46988,186799931.44
2022-03-27,41105,163448263.47
2022-03-28,32919,145082119.63
2022-03-29,30001,131323569.41
2022-03-30,29280,126210760.8
2022-03-31,29959,125541981.54
2022-04-01,31306,132789011.38
2022-04-02,35252,135219871.1
2022-04-03,29486,114816103.14
2022-04-04,26314,122611764.2
2022-04-05,25020,103709922.26
2022-04-06,25552,111845153.96
2022-04-07,26060,110684226.55
2022-04-08,30070,131163053.52
2022-04-09,32598,126100441.01
2022-04-10,27141,109715960.59
2022-04-11,21307,102178951.76
2022-04-12,21237,95778393.5699998
2022-04-13,25212,117887816.21
2022-04-14,35225,161355678.2
2022-04-15,35190,150016108.199999
2022-04-16,38684,159471485.96
2022-04-17,27047,120838033.68
2022-04-18,20174,99819306.4899998
2022-04-19,19886,88038329.5799999
2022-04-20,19997,88112931.4199999
2022-04-21,21449,103951090.8
2022-04-22,24352,107809140.32
2022-04-23,28213,111256847.37
2022-04-24,23990,94478981.86
2022-04-25,19237,85710523.69
2022-04-26,17995,75733809.2899999
2022-04-27,18419,75344711.37
2022-04-28,18429,78108659.56
2022-04-29,20499,84869203.38
2022-04-30,21091,81131761.17
2022-05-01,15092,62970391.86
2022-05-02,14094,64578355.3
2022-05-03,13747,62944432.9900001
2022-05-04,12993,57447604.1600001
2022-05-05,13480,59179426.3100001
2022-05-06,15918,68113225.98
2022-05-07,18195,70019728.95
2022-05-08,15518,63095167.76
2022-05-09,11902,53533153.6200001
2022-05-10,11425,50560144.6400001
2022-05-11,11616,50367286.1700001
2022-05-12,12394,53080355.86
2022-05-13,14660,61320460.35
2022-05-14,16289,63682352.12
2022-05-15,13559,55285893.09
2022-05-16,10296,48111018.3000001
2022-05-17,11313,50311317.8800001
2022-05-18,4899,24522484.02
2022-05-19,11231,48941105.4000001
2022-05-20,13468,57491637.31
2022-05-21,15828,62189613.57
2022-05-22,13285,52798994.76
2022-05-23,10525,48437941.5300001
2022-05-24,11314,49354994.9200001
2022-05-25,10350,44113337.4300001
2022-05-26,9932,45169639.81
2022-05-27,12231,54009756.25
2022-05-28,13258,52322626.55
2022-05-29,10501,41404567.58
2022-05-30,7988,44642086.2500001
2022-05-31,7533,40858921.95
2022-06-01,7646,42044782.8600001
2022-06-02,7907,43119982.0200001
2022-06-03,9179,47835854.78
2022-06-04,10922,44199194.88
2022-06-05,8843,38213843.48
2022-06-06,7014,41970374.36
2022-06-07,6879,39249733.49
2022-06-08,6950,37277016.87
2022-06-09,7277,39055203.21
2022-06-10,8762,42370998.06
2022-06-11,10031,39739085.36
2022-06-12,8444,36404177.17
2022-06-13,6582,35428264.74
2022-06-14,7001,39240816.94
2022-06-15,7577,39681470.42
2022-06-16,8722,46906919.75
2022-06-17,12811,61246890.77
2022-06-18,14314,63236264.03
2022-06-19,11916,56373859.36
2022-06-20,9660,47346489.41
2022-06-21,6872,38443823.89
2022-06-22,6344,35002305.73
2022-06-23,6499,34970973.4
2022-06-24,7744,39654536.77
2022-06-25,8622,35919193.84
2022-06-26,7196,30820001.49
2022-06-27,5319,31255011.01
2022-06-28,5609,37014131.17
2022-06-29,5754,39162554
2022-06-30,5766,42791096.91
2022-07-01,6533,54442495.4
2022-07-02,7502,35218753.04
2022-07-03,6359,35059119.98
2022-07-04,5384,65087071.47
2022-07-05,5592,67998226.45
2022-07-06,5425,58931735.53
2022-07-07,5805,62794921.91
2022-07-08,7019,66917072.85
2022-07-09,7649,38351458.46
2022-07-10,7231,39484758.47
2022-07-11,6970,68427111.04
2022-07-12,7137,57624899.99
2022-07-13,7188,51695014.44
2022-07-14,7626,55082135
2022-07-15,8442,58215759.45
2022-07-16,9362,53178038.33
2022-07-17,8874,53615022.67
2022-07-18,9620,72956768.84
2022-07-19,10184,69743874.93
2022-07-20,10076,64857707.79
2022-07-21,10403,66327208.45
2022-07-22,10913,64995569.15
2022-07-23,11247,63156977.73
2022-07-24,9420,54297378.83
2022-07-25,8894,60361268.87
2022-07-26,9059,62774790.72
2022-07-27,8548,59408929.87
2022-07-28,8498,56674949.41
2022-07-29,8619,55966675.56
2022-07-30,8096,42536470.22
2022-07-31,5974,33979296.23
2022-08-01,5122,43859237.57
2022-08-02,5003,40670761.04
2022-08-03,4947,37401699.86
2022-08-04,5310,42759317.85
2022-08-05,6423,47540935.23
2022-08-06,7157,40066751.98
2022-08-07,6020,31727452.04
2022-08-08,5098,45557750.63
2022-08-09,5301,46019713.43
2022-08-10,5412,46386251.72
2022-08-11,5533,36176088.55
2022-08-12,7095,44721059.01
2022-08-13,8694,48113721.43
2022-08-14,8240,42730705.1
2022-08-15,6938,40013555.72
2022-08-16,5394,38669867.94
2022-08-17,4960,35070774.44
2022-08-18,5030,35206038.82
2022-08-19,6226,40069147.79
2022-08-20,7179,38511290.45
2022-08-21,6082,35038809.63
2022-08-22,4730,32708983.78
2022-08-23,4723,30845931.94
2022-08-24,5000,32133999.5
2022-08-25,4988,32012849.27
2022-08-26,5849,36367252.37
2022-08-27,6497,35357518.86
2022-08-28,5534,32476699.19
2022-08-29,3903,29973967.01
2022-08-30,4477,31121334.82
2022-08-31,4297,26300894.75
2022-09-01,4542,30922914.7
2022-09-02,5515,32760506.99
2022-09-03,6335,36523912.43
2022-09-04,5483,29728696.4
2022-09-05,4702,36037431.96
2022-09-06,4957,38976359.52
2022-09-07,5279,42029126.58
2022-09-08,5055,42465834.49
2022-09-09,5968,45344145.44
2022-09-10,6751,40379193.48
2022-09-11,5758,36908423.56
2022-09-12,5125,39006739.17
2022-09-13,5015,37998603.05
2022-09-14,5647,47960360.55
2022-09-15,5303,34807423.47
2022-09-16,5970,36919318.97
2022-09-17,6841,38672687.61
2022-09-18,5658,32424922.08
2022-09-19,4729,31909068.27
2022-09-20,5090,31700819.28
2022-09-21,5226,30804649.65
2022-09-22,5042,28868146.02
2022-09-23,5543,33030394.82
2022-09-24,6446,34399109.8
2022-09-25,5205,25917531.53
2022-09-26,3986,23021142.7
2022-09-27,4083,23089846.49
2022-09-28,4035,23836724.79
2022-09-29,4255,25067450.89
2022-09-30,4797,27366706.89
2022-10-01,5641,33808118.55
2022-10-02,4954,28113206.68
2022-10-03,4464,35114441.76
2022-10-04,4837,37306130.4
2022-10-05,5265,43230964.1
2022-10-06,6535,48591187.51
2022-10-07,9483,63896799.86
2022-10-08,11031,66901959.81
2022-10-09,11479,65584502.72
2022-10-10,15073,98864268.23
2022-10-11,17461,123769238.75
2022-10-12,20277,140071072.8
2022-10-13,22886,153901482.28
2022-10-14,26997,170320992.4
2022-10-15,30789,184530323.6
2022-10-16,28023,160122669.92
2022-10-17,27184,166047691.44
2022-10-18,27271,169960015.97
2022-10-19,27390,169052333.86
2022-10-20,27648,165350591.38
2022-10-21,30745,180281460.37
2022-10-22,33406,188062560.37
2022-10-23,31504,170575321.9
2022-10-24,28475,166423275.55
2022-10-25,28584,167095070
2022-10-26,28083,155939603.33
2022-10-27,27990,160925403.55
2022-10-28,31080,181955576.13
2022-10-29,32960,178769445.78
2022-10-30,25464,136672275.71
2022-10-31,23001,144432894.73
2022-11-01,23228,153764088.38
2022-11-02,25736,172050311.79
2022-11-03,28699,181436903.26
2022-11-04,35072,216491534.43
2022-11-05,41507,232023709.45
2022-11-06,39590,218230000.71
