fecha_carga,comprobantes,monto,clae,clae6_desc,edicion,clae2,clae2_desc,clae3,clae3_desc,letra,letra_desc
2020-10-23,234,3163679.1,511000,Servicio de transporte aéreo de pasajeros,previaje 1,51,Transporte aéreo,511,Servicio de transporte aéreo de pasajeros,H,SERVICIO DE TRANSPORTE Y ALMACENAMIENTO
2020-10-23,146,9199961.51,551022,"Servicios de alojamiento en hoteles, hosterías y residenciales similares, excepto por hora, que incluyen servicio de restaurante al público",previaje 1,55,Servicios de alojamiento,551,"Servicios de alojamiento, excepto en camping",I,SERVICIOS DE ALOJAMIENTO Y SERVICIOS DE COMIDA
2020-10-23,156,10091570.6,551023,"Servicios de alojamiento en hoteles, hosterías y residenciales similares, excepto por hora, que no incluyen servicio de restaurante al público",previaje 1,55,Servicios de alojamiento,551,"Servicios de alojamiento, excepto en camping",I,SERVICIOS DE ALOJAMIENTO Y SERVICIOS DE COMIDA
2020-10-23,47,1986550.86,551090,"Servicios de hospedaje temporal n.c.p. (Incluye hospedaje en estancias, residencias para estudiantes y albergues juveniles, apartamentos turísticos, etc.)",previaje 1,55,Servicios de alojamiento,551,"Servicios de alojamiento, excepto en camping",I,SERVICIOS DE ALOJAMIENTO Y SERVICIOS DE COMIDA
2020-10-23,4,256540,552000,Servicios de alojamiento en campings (Incluye refugios de montaña),previaje 1,55,Servicios de alojamiento,552,Servicios de alojamiento en campings,I,SERVICIOS DE ALOJAMIENTO Y SERVICIOS DE COMIDA
2020-10-23,23,515910.14,771110,Alquiler de automóviles sin conductor,previaje 1,77,Alquiler y leasing,771,Alquiler de vehículos automotores y equipo de transporte sin conductor ni operarios,N,ACTIVIDADES ADMINISTRATIVAS Y SERVICIOS DE APOYO
2020-10-23,501,21908333.44,791100,Servicios minoristas de agencias de viajes,previaje 1,79,"Agencias de viajes, servicios de reservas y actividades conexas",791,Servicios de agencias de viaje y otras actividades complementarias de apoyo turístico,N,ACTIVIDADES ADMINISTRATIVAS Y SERVICIOS DE APOYO
2020-10-23,6,226397,791909,Servicios complementarios de apoyo turístico n.c.p.,previaje 1,79,"Agencias de viajes, servicios de reservas y actividades conexas",791,Servicios de agencias de viaje y otras actividades complementarias de apoyo turístico,N,ACTIVIDADES ADMINISTRATIVAS Y SERVICIOS DE APOYO
2020-10-23,13,399000,939090,Servicios de entretenimiento n.c.p.,previaje 1,93,"Actividades deportivas, recreativas y de entretenimiento",939,Servicios de esparcimiento ncp,R,"SERVICIOS  ARTÍSTICOS, CULTURALES, DEPORTIVOS  Y DE ESPARCIMIENTO"
2020-10-24,19,54067.6,492150,"Servicio de transporte automotor interurbano regular de pasajeros, E1203excepto transporte internacional (Incluye los llamados servicios de larga distancia)",previaje 1,49,Transporte terrestre y por tuberías,492,Servicio de transporte automotor,H,SERVICIO DE TRANSPORTE Y ALMACENAMIENTO
2020-10-24,263,3681116.38,511000,Servicio de transporte aéreo de pasajeros,previaje 1,51,Transporte aéreo,511,Servicio de transporte aéreo de pasajeros,H,SERVICIO DE TRANSPORTE Y ALMACENAMIENTO
2020-10-24,73,4581435.25,551022,"Servicios de alojamiento en hoteles, hosterías y residenciales similares, excepto por hora, que incluyen servicio de restaurante al público",previaje 1,55,Servicios de alojamiento,551,"Servicios de alojamiento, excepto en camping",I,SERVICIOS DE ALOJAMIENTO Y SERVICIOS DE COMIDA
2020-10-24,89,6148038.93,551023,"Servicios de alojamiento en hoteles, hosterías y residenciales similares, excepto por hora, que no incluyen servicio de restaurante al público",previaje 1,55,Servicios de alojamiento,551,"Servicios de alojamiento, excepto en camping",I,SERVICIOS DE ALOJAMIENTO Y SERVICIOS DE COMIDA
2020-10-24,37,2156186,551090,"Servicios de hospedaje temporal n.c.p. (Incluye hospedaje en estancias, residencias para estudiantes y albergues juveniles, apartamentos turísticos, etc.)",previaje 1,55,Servicios de alojamiento,551,"Servicios de alojamiento, excepto en camping",I,SERVICIOS DE ALOJAMIENTO Y SERVICIOS DE COMIDA
2020-10-24,3,6552,561019,Servicios de expendio de comidas y bebidas en establecimientos con servicio de mesa y/o en mostrador n.c.p.,previaje 1,56,Servicios de expendio de alimentos y bebidas,561,Servicios de expendio de comidas y bebidas,I,SERVICIOS DE ALOJAMIENTO Y SERVICIOS DE COMIDA
2020-10-24,4,183595,771110,Alquiler de automóviles sin conductor,previaje 1,77,Alquiler y leasing,771,Alquiler de vehículos automotores y equipo de transporte sin conductor ni operarios,N,ACTIVIDADES ADMINISTRATIVAS Y SERVICIOS DE APOYO
